country_code,country,Gold Medal,Silver Medal,Bronze Medal,total_medals,weighted_score,medals_per_capita,,female,male,population,,GDP (in millions),ranking,GDP_per_capita,ranking,region
AIN,russia,1,3,1,5,10,0.03550611589,,75324005,65496805,140820810,,5816000,4,39800,63,Central Asia
,belarus,,,,,0,0,,5067612,4433839,9501451,,254407,69,27700,83,Europe 
ALB,Albania,0,0,2,2,2,0.6958160235,,1435589,1438733,2874323,,49592,126,18100,107,Europe
ALG,Algeria,2,0,1,3,7,0.06295779763,,23602207,24048761,47650968,,699947,40,15300,123,Africa
ARG,Argentina,1,1,1,3,6,0.06342658175,,24161246,23137534,47298781,,1235000,28,26500,86,South America
ARM,Armenia,0,3,1,4,7,1.327579163,,1610603,1402400,3013003,,57728,116,20800,100,Middle East
AUS,Australia,18,19,16,53,108,1.979931859,,13463488,13305110,26768598,,1584000,20,59500,29,Australia and Oceania
AUT,Austria,2,0,3,5,9,0.5575390316,,4575084,4392898,8967982,,590354,43,64600,22,Europe
AZE,Azerbaijan,2,2,3,7,13,0.6572622455,,5320006,5330233,10650239,,215896,74,21300,98,Middle East
BRN,Bahrain,2,1,1,4,9,2.552830834,,626886,940022,1566888,,85491,101,57600,30,Middle East
BEL,Belgium,3,1,6,10,17,0.8348894281,,6068577,5909057,11977634,,751592,36,63600,26,Europe
BOT,Botswana,1,1,0,2,5,0.8161040174,,1276362,1174306,2450668,,46742,129,17500,110,Africa
BRA,Brazil,3,7,10,20,33,0.09088780994,,111885021,108166491,220051512,,4016000,7,18600,105,South America
BUL,Bulgaria,3,1,3,7,14,1.032043628,,3479168,3303491,6782659,,214061,75,33300,74,Europe
CPV,Cabo Verde,0,0,1,1,1,1.636623711,,313908,297106,611014,,4903,187,8200,155,Africa
CAN,Canada,9,7,11,27,52,0.6959693297,,19560084,19234729,38794813,,2238000,16,55800,34,North America
CHI,Chile,1,1,0,2,5,0.1071544222,,9494916,9169736,18664652,,579201,44,29500,79,South America
CHN,China,40,27,24,91,198,0.06426357296,,"693,841,766",722201504,1416043270,,31227000,1,22100,97,East and Southeast Asia
TPE,Chinese Taipei,2,0,5,7,11,0.2966695788,,11988783,11606491,23595274,,1143000,30,47800,47,East and Southeast Asia
COL,Colombia,0,3,1,4,7,0.08066409621,,25381986,24206371,49588357,,978024,32,18800,104,South America
CIV,Côte d'Ivoire,0,0,1,1,1,0.03335361455,,14941726,15040032,29981758,,202758,77,7000,159,Africa
CRO,Croatia,2,2,3,7,13,1.686699842,,2146685,2003431,4150116,,159305,81,41300,59,Europe
CUB,Cuba,2,1,6,9,14,0.8207157407,,5524531,5441507,10966038,,137000,87,12300,138,Central America and the Caribbean
CYP,Cyprus,0,1,0,1,2,0.7572745688,,645329,675196,1320525,,46976,128,50600,40,Europe
CZE,Czechia,3,0,2,5,11,0.461344413,,5502153,5335737,10837890,,519007,47,47700,48,Europe
DEN,Denmark,2,2,5,9,15,1.506746205,,2997875,2975261,5973136,,428385,53,72000,15,Europe
DMA,Dominica,1,0,0,1,3,13.39387364,,36908,37753,74661,,1159,208,15900,117,Central America and the Caribbean
DOM,Dominican Republic,1,0,2,3,5,0.2773705311,,5350081,5465776,10815857,,261616,66,23100,91,Central America and the Caribbean
PRK,DPR Korea,0,2,4,6,8,0.2281484544,,13470397,12828269,26298666,,40000,138,1700,211,East and Southeast Asia
ECU,Ecuador,1,2,2,5,9,0.2730750611,,9286814,9023170,18309984,,260213,67,14300,127,South America
EGY,Egypt,1,1,1,3,6,0.02696695922,,54104764,57142484,111247248,,1912000,17,17000,112,Africa
EOR,EOR,0,0,1,1,1,,,,,,,,,,,
ETH,Ethiopia,1,3,0,4,9,0.03374095272,,59488205,59062093,118550298,,354604,56,2800,198,Africa
FIJ,Fiji,0,1,0,1,2,1.050849559,,469307,482304,951611,,12699,162,13600,131,Australia and Oceania
FRA,France,16,26,22,64,122,0.9360202242,,34817497,33557094,68374591,,3764000,9,55200,35,Europe
GEO,Georgia,3,3,1,7,16,1.428291309,,2557893,2343068,4900961,,83656,102,22200,96,Middle East
GER,Germany,12,13,8,33,70,0.3923009162,,42546398,41572702,84119100,,5230000,6,61900,27,Europe
GBR,Great Britain,14,22,29,65,115,1.38231777,,23167652,23854821,47022473,,3700000,10,54100,36,Europe
GRE,Greece,1,1,6,8,11,0.7647385918,,5343229,5117862,10461091,,375780,55,36300,66,Europe
GRN,Grenada,0,0,2,2,2,17.44880955,,56453,58168,114621,,2008,201,15900,118,Central America and the Caribbean
GUA,Guatemala,1,0,1,2,4,0.1095577286,,9204532,9050684,18255216,,223183,72,12700,135,Central America and the Caribbean
HKG,"Hong Kong, China",2,0,2,4,8,0.5481088122,,3930009,3367812,7297821,,485559,50,64400,24,East and Southeast Asia
HUN,Hungary,6,7,6,19,38,1.927809618,,5043077,4812668,9855745,,388906,54,40600,60,Europe
IND,India,0,1,5,6,7,0.004257951541,,683343471,725784825,1409128296,,13104000,3,9200,150,South Asia
INA,Indonesia,2,0,0,2,6,0.007103219529,,140762418,140800047,281562465,,3906000,8,14100,128,East and Southeast Asia
IRI,IR Iran,3,6,3,12,24,0.1357666688,,43591398,44795539,88386937,,1440000,22,16200,115,Middle East
IRL,Ireland,4,0,3,7,15,1.337546989,,2642919,2590542,5233461,,608463,42,115600,4,Europe
ISR,Israel,1,5,1,7,14,0.7444735864,,4671342,4731275,9402617,,471030,51,48300,45,Middle East
ITA,Italy,12,13,15,40,77,0.6561149065,,31550866,29414065,60964931,,3097000,11,52700,37,Europe
JAM,Jamaica,1,3,2,6,11,2.12486184,,1426218,1397495,2823713,,29225,149,10300,146,Central America and the Caribbean
JPN,Japan,20,12,13,45,97,0.3652539739,,"63,326,676",59875269,123201945,,5761000,5,46300,51,East and Southeast Asia
JOR,Jordan,0,1,0,1,2,0.08949327476,,5329045,5844979,11174024,,106806,95,9400,149,Middle East
KAZ,Kazakhstan,1,3,3,7,12,0.3455082886,,10442834,9817172,20260006,,705520,39,35500,70,Central Asia
KEN,Kenya,4,2,5,11,21,0.1888529446,,29154578,29091800,58246378,,314063,60,5700,170,Africa
KOR,Korea,13,9,10,32,67,0.6144181003,,25962688,2611911,52081799,,2615000,14,50600,41,East and Southeast Asia
KOS,Kosovo,0,1,1,2,3,1.011586203,,959101,1017992,1977093,,23794,156,13500,132,Europe
KGZ,Kyrgyzstan,0,2,4,6,8,0.9721163021,,3150783,3021318,6172101,,45461,131,6400,165,Central Asia
LTU,Lithuania,0,2,2,4,6,1.521962296,,1413192,1214994,2628186,,132712,91,46200,53,Europe
MAS,Malaysia,0,0,2,2,2,0.05786231719,,16898598,17666212,34564810,,1152000,29,33600,73,East and Southeast Asia
MEX,Mexico,0,3,2,5,8,0.0382438641,,66840789,63899138,130739927,,2873000,13,22400,94,North America
MGL,Mongolia,0,1,0,1,2,0.3047223431,,1686080,1595596,3281676,,56264,121,16300,114,East and Southeast Asia
MAR,Morocco,1,0,1,2,4,0.05349369316,,18723322,18664263,37387585,,337480,57,8800,151,Africa
NED,Netherlands,15,7,12,34,71,1.913081074,,8928278,8844100,17772378,,1240000,27,69300,18,Europe
NZL,New Zealand,10,7,3,20,47,3.875059555,,2576604,2584607,5161211,,254770,68,48800,44,Australia and Oceania
NOR,Norway,4,1,3,8,17,1.451975985,,2728761,2780972,5509733,,499528,49,90500,8,Europe
PAK,Pakistan,1,0,0,1,3,0.003962537049,,123975774,128387797,252363571,,1347000,25,5600,172,South Asia
PAN,Panama,0,1,0,1,2,0.2237015857,,2218984,2251257,4470241,,159867,80,35800,67,Central America and the Caribbean
PER,Peru,0,0,1,1,1,0.03067461233,,16647693,15952556,32600249,,517644,48,15100,124,South America
PHI,Philippines,2,0,2,4,8,0.0338188986,,59049971,59227092,118277063,,1138000,31,9700,148,East and Southeast Asia
POL,Poland,1,4,5,10,16,0.2580890929,,20304895,18441415,38746310,,1616000,19,44100,54,Europe
POR,Portugal,1,2,1,4,8,0.3918811244,,5371414,4835763,10207177,,439008,52,41700,58,Europe
